Time,X-Acceleration,Y-Acceleration,Z-Acceleration,X-Velocity,Y-Velocity,Z-Velocity,Composite-Acceleration,Composite-Velocity,Temperature Z,Temperature-XYZ
00:00.0,13.1484375,17.296875,11.59375,2.443359375,2.0859375,2.470703125,19.578125,4.0546875,25.25,25.25
00:00.0,13.859375,17.640625,11.546875,1.622070313,1.629882813,1.827148438,19.984375,2.9375,25.875,25.875
00:00.0,12.984375,16.90625,10.03125,3.119140625,3.01171875,1.864257813,19.375,4.71875,26.75,26.75
00:00.0,14.15625,17.703125,11.484375,1.471679688,1.454101563,1.532226563,17.84375,2.57421875,28.3125,28.3125
00:00.0,14.7890625,15.5625,13.8984375,2.0546875,1.59765625,1.962890625,18.15625,3.259765625,29.1875,29.1875
00:00.0,11.8671875,17.609375,10.4140625,1.33984375,1.387695313,1.532226563,18.3125,2.462890625,30.0625,30.0625
00:00.0,13.3359375,16.25,12.6796875,1.575195313,1.4609375,1.69921875,20.046875,2.73828125,30.8125,30.8125
00:00.0,13.84375,16.828125,12.2890625,1.419921875,1.458007813,1.588867188,19.390625,2.58203125,31.25,31.25
00:00.0,16.625,15.1484375,10.9921875,1.591796875,1.412109375,1.814453125,16.90625,2.796875,31.75,31.75
00:00.0,12.7265625,14.3828125,11.59375,1.330078125,1.397460938,1.579101563,16.75,2.4921875,31.75,31.75
00:00.0,13.7109375,21.53125,12.21875,1.341796875,1.462890625,1.560546875,22.265625,2.525390625,31.625,31.625
00:00.0,14.03125,17.8125,11.265625,1.868164063,1.499023438,1.692382813,18.515625,2.931640625,30.875,30.875
00:00.0,16.640625,15.5390625,10.65625,2.720703125,1.640625,2.33984375,19.375,3.9453125,30.0625,30.0625
00:00.0,16.890625,21.46875,12.0546875,2.76171875,1.692382813,2.205078125,23.28125,3.919921875,29.5,29.5
